lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA
10,0.25,2,0.05,0.553869544937444,0.49793866602744985,0.9171037170779239
10,0.25,2,0.1,0.5574343443633488,0.5023133924237451,0.9184592898289055
10,0.25,2,0.3,0.5549348696965762,0.4905626336390558,0.9260453386065973
10,0.25,2,0.5,0.5001641459528232,0.4135687454964846,0.9287421545868799
10,0.25,2,0.7,0.2753708729941775,0.17830503094746866,0.852732639784484
10,0.25,3,0.05,0.5580734297135806,0.5040961292528204,0.9186111827587196
10,0.25,3,0.1,0.5610446716027543,0.5087774881753498,0.9199294987533316
10,0.25,3,0.3,0.5609188150902861,0.5018214562305413,0.9276703063651736
10,0.25,3,0.5,0.5010625201742405,0.4176575560653307,0.9258074685466999
10,0.25,3,0.7,0.27388331145732897,0.18310917117686265,0.8191098501132033
10,0.25,5,0.05,0.5630560322085866,0.5158097200658402,0.9166595019058263
10,0.25,5,0.1,0.5645009135984528,0.5165148063781321,0.9176539707104577
10,0.25,5,0.3,0.5620644628002283,0.5078610994275449,0.9245980569168601
10,0.25,5,0.5,0.49970057737173484,0.4206898748657,0.9149972773908807
10,0.25,5,0.7,0.26904058125361524,0.1898474745394935,0.7533115524603788
10,0.5,2,0.05,0.5651190901060567,0.5143321041101827,0.924317198291921
10,0.5,2,0.1,0.5691962143687659,0.5186935696711672,0.9260682658412862
10,0.5,2,0.3,0.5664215336955907,0.5081266281572092,0.9345456108675092
10,0.5,2,0.5,0.5064178263940967,0.42400770019507544,0.9354569684463933
10,0.5,2,0.7,0.2767340313427771,0.1800975168793417,0.8576533975295905
10,0.5,3,0.05,0.5702840934006695,0.523346369377148,0.9240850600406958
10,0.5,3,0.1,0.573454340109086,0.5263528046061096,0.9256813687559109
10,0.5,3,0.3,0.5721152250465924,0.5171263278851985,0.9337546212707419
10,0.5,3,0.5,0.5072751205548232,0.42681210213039783,0.9302868770240449
10,0.5,3,0.7,0.2747943333497547,0.18442652786372074,0.8214283667211189
10,0.5,5,0.05,0.5733957111153493,0.5314641497237053,0.9206345112200155
10,0.5,5,0.1,0.5762863850411696,0.5329208324759276,0.9220731951967444
10,0.5,5,0.3,0.5730372868011454,0.5212251416295035,0.9289026452297022
10,0.5,5,0.5,0.5058185121838762,0.4302892220174433,0.9174562233112659
10,0.5,5,0.7,0.26960554389226876,0.19064639724718513,0.7540108331183905
10,0.75,2,0.05,0.5855039305903821,0.5469471944860212,0.933046742899722
10,0.75,2,0.1,0.5869410749878249,0.5476771854285876,0.9351417189694208
10,0.75,2,0.3,0.5839918913208347,0.5356217994621459,0.9417877511248675
10,0.75,2,0.5,0.5151239882034045,0.4331562857631066,0.9395380162210185
10,0.75,2,0.7,0.27838523026563716,0.18244717099605104,0.856174590892156
10,0.75,3,0.05,0.5865062792273811,0.5497951952377578,0.9314647637061875
10,0.75,3,0.1,0.5880288179678085,0.5506993006993007,0.9335425443498696
10,0.75,3,0.3,0.5853203691401638,0.5389720182236116,0.9395294185080102
10,0.75,3,0.5,0.514793220437488,0.4353651991759431,0.9330381451867137
10,0.75,3,0.7,0.27588440518101925,0.18598208824081264,0.8190095434614393
10,0.75,5,0.05,0.5853395509384406,0.5507857334863697,0.9272146275757315
10,0.75,5,0.1,0.5870274644448874,0.5521464529588938,0.9291462470982719
10,0.75,5,0.3,0.5835878558650837,0.5399132665999046,0.9335740692975668
10,0.75,5,0.5,0.5129023211239941,0.43817614384032233,0.9193477201731006
10,0.75,5,0.7,0.270690572523575,0.19229004130335017,0.7517926231622388
10,0.9,2,0.05,0.6198528124741463,0.6045560103320378,0.9367552231106525
10,0.9,2,0.1,0.6189714235733362,0.6022696177523592,0.9369787636488695
10,0.9,2,0.3,0.6176715369341766,0.5890042623829573,0.9367294299716276
10,0.9,2,0.5,0.5304844539632739,0.461415181247898,0.921330925973691
10,0.9,2,0.7,0.27565648990104646,0.18795773811635128,0.80804459347147
10,0.9,3,0.05,0.6190892045402133,0.6047400841884847,0.9351187917347319
10,0.9,3,0.1,0.61821285116247,0.6021008186423273,0.9351302553520764
10,0.9,3,0.3,0.6173534170029201,0.589512536848682,0.9343421316596452
10,0.9,3,0.5,0.5305160524289864,0.4641506111608388,0.9151606339380391
10,0.9,3,0.7,0.27280535786357263,0.19084247180499975,0.774341558478778
10,0.9,5,0.05,0.6172122207473317,0.6044004846310724,0.9312555526896512
10,0.9,5,0.1,0.6165429860556697,0.6018277100156094,0.9312096982202734
10,0.9,5,0.3,0.6150557874532281,0.5892636230388916,0.9293239331671109
10,0.9,5,0.5,0.5281634835011557,0.4657216898478522,0.9026882182672742
10,0.9,5,0.7,0.267043521139329,0.1954531251789287,0.714220617315794
30,0.25,2,0.05,0.5559511859423234,0.501239708182074,0.9148511162697389
30,0.25,2,0.1,0.5577179450980164,0.5035014427597844,0.9165047430716763
30,0.25,2,0.3,0.5534930514022228,0.48987530933229295,0.924772877081363
30,0.25,2,0.5,0.49932649115645483,0.41316173430753994,0.9278651878600293
30,0.25,2,0.7,0.2753546676770297,0.17882601089589267,0.8523314131774281
30,0.25,3,0.05,0.5593319853318014,0.5074152959093642,0.9165047430716763
30,0.25,3,0.1,0.5620185794050557,0.5116937105697643,0.9179033043876995
30,0.25,3,0.3,0.5592291883177342,0.5001103353061663,0.9263806494139225
30,0.25,3,0.5,0.5010752661136076,0.41715458726423527,0.9249333677241853
30,0.25,3,0.7,0.2741940553797802,0.18390696943695845,0.8188089301579113
30,0.25,5,0.05,0.564099709022655,0.5199412163689803,0.9148568480784112
30,0.25,5,0.1,0.5659147119915725,0.5209871024869935,0.9160146734302009
30,0.25,5,0.3,0.5611907798835064,0.5069611137782045,0.9239159716848652
30,0.25,5,0.5,0.4999014398112223,0.41994697478407855,0.9141289083770384
30,0.25,5,0.7,0.26922945440358736,0.1902966529594069,0.7530708164961454
30,0.5,2,0.05,0.5656222162294166,0.5172886806295379,0.9225518012208752
30,0.5,2,0.1,0.5706621234265813,0.5218694376631325,0.9245980569168601
30,0.5,2,0.3,0.5671210240436663,0.5090257101130973,0.9339409050525893
30,0.5,2,0.5,0.5049953460379978,0.4213736753844507,0.9339609663829421
30,0.5,2,0.7,0.2766316508391938,0.18036381030840165,0.8569856418192761
30,0.5,3,0.05,0.5703406082602914,0.5248756429225675,0.9224830195168086
30,0.5,3,0.1,0.574427741919647,0.5281508526799318,0.924342991430946
30,0.5,3,0.3,0.5731210981425681,0.5184294439506958,0.9333992491330639
30,0.5,3,0.5,0.5074516654313297,0.4262324264649936,0.9290917949158857
30,0.5,3,0.7,0.27492962781413643,0.185116123946395,0.8209898833576935
30,0.5,5,0.05,0.5731223000434962,0.5327157837519534,0.9190926546871866
30,0.5,5,0.1,0.5769187363458528,0.5350007370366591,0.9209153698449546
30,0.5,5,0.3,0.5732457413300802,0.5216326390791998,0.9286074570830826
30,0.5,5,0.5,0.5056796264819127,0.42834245929578996,0.9164015705155761
30,0.5,5,0.7,0.26982185434229516,0.19134851655089158,0.7537041813544264
30,0.75,2,0.05,0.5842364082062306,0.5476219743949496,0.9314217751411458
30,0.75,2,0.1,0.5857059229545389,0.5489570246624337,0.9338635256355143
30,0.75,2,0.3,0.5844911675795125,0.537003655050842,0.9412776201530393
30,0.75,2,0.5,0.5142932578346777,0.43109859090250263,0.9382970796434815
30,0.75,2,0.7,0.2780538981524132,0.18231705684822924,0.8554839079471527
30,0.75,3,0.05,0.5850766009869187,0.5496854188635447,0.929960163929728
30,0.75,3,0.1,0.5868131183841633,0.5515741910062831,0.9323474622417104
30,0.75,3,0.3,0.5859249873052853,0.5405168762682692,0.9393545983435073
30,0.75,3,0.5,0.5139932291069469,0.4332272590294129,0.9318401971742183
30,0.75,3,0.7,0.27594293028608297,0.186707365044322,0.8185166079156277
30,0.75,5,0.05,0.5842312855746369,0.550652272088208,0.9259020433897917
30,0.75,5,0.1,0.5855025877943661,0.5523228444444445,0.9281087897285989
30,0.75,5,0.3,0.5841046917680607,0.5415725929414998,0.9334393717937696
30,0.75,5,0.5,0.5116270696016981,0.4351854141903796,0.9181612357779497
30,0.75,5,0.7,0.2706010334599652,0.19265508653252056,0.7514487146419052
30,0.9,2,0.05,0.6177354161263646,0.603500327654935,0.9368727251884332
30,0.9,2,0.1,0.6187390287145021,0.6036638424547744,0.9370733384919612
30,0.9,2,0.3,0.6195951508922556,0.592669285533258,0.936818273006047
30,0.9,2,0.5,0.5302009970176856,0.46045160998037304,0.9211847648525492
30,0.9,2,0.7,0.27577454716225525,0.18848130416151576,0.8076376350557418
30,0.9,3,0.05,0.6170247072765062,0.6036699166240549,0.935296477803571
30,0.9,3,0.1,0.6179910184592055,0.6034853768327312,0.9352792823775542
30,0.9,3,0.3,0.619279309486334,0.5931579220569491,0.9344825609721148
30,0.9,3,0.5,0.5300699173033829,0.4626435348809925,0.9149628865388474
30,0.9,3,0.7,0.2729210715204311,0.1914442139198383,0.7739546613934027
30,0.9,5,0.05,0.6155085639381216,0.6033144318578126,0.9316051930186571
30,0.9,5,0.1,0.6163699554594878,0.603181986545038,0.9315192158885737
30,0.9,5,0.3,0.6165415892819691,0.5923893242344505,0.9295675350356805
30,0.9,5,0.5,0.5272179329696857,0.46345972123789275,0.9025391912417964
30,0.9,5,0.7,0.2673526285882264,0.19624938070143022,0.713942624595191
60,0.25,2,0.05,0.5555731971656224,0.5004437575767756,0.9146820279139082
60,0.25,2,0.1,0.5571021223444421,0.5022564270692789,0.9160060757171926
60,0.25,2,0.3,0.5529661049303317,0.4885308924485126,0.9244862866477517
60,0.25,2,0.5,0.49889354065715147,0.41333005627355685,0.9277820766342819
60,0.25,2,0.7,0.2755955928908876,0.17934893557649237,0.8521909838649586
60,0.25,3,0.05,0.5594816751557784,0.5077524116975232,0.9163786432808873
60,0.25,3,0.1,0.5616992790177257,0.5117556324531666,0.917536468632677
60,0.25,3,0.3,0.5585017152172838,0.4995247309637777,0.9262058292494196
60,0.25,3,0.5,0.49945116107605136,0.41681697832794307,0.9248273292637492
60,0.25,3,0.7,0.2744725874102039,0.1843683258164594,0.8186656349411057
60,0.25,5,0.05,0.5642525902531211,0.5202633586707734,0.9147565414266472
60,0.25,5,0.1,0.5655148142525344,0.5204982717753478,0.9157768033703035
60,0.25,5,0.3,0.5599585942910213,0.5054911561835503,0.9236523084859427
60,0.25,5,0.5,0.49737795910940913,0.41840634809451516,0.9142091536984496
60,0.25,5,0.7,0.2696341116881258,0.19079346138568107,0.7532112458086149
60,0.5,2,0.05,0.5646112112389584,0.515924300896348,0.9224772877081363
60,0.5,2,0.1,0.5694747422292117,0.5200782842743439,0.924469091221735
60,0.5,2,0.3,0.56630049983611,0.508114255966864,0.9333276015246611
60,0.5,2,0.5,0.5043380449526614,0.42073266450701413,0.9339036482962199
60,0.5,2,0.7,0.276809818508374,0.18088223788033794,0.8567621012810592
60,0.5,3,0.05,0.570470350205111,0.5254172567088679,0.9224629581864557
60,0.5,3,0.1,0.5746026125488232,0.528491825017281,0.924239818874846
60,0.5,3,0.3,0.5719348820169545,0.5172354086597142,0.9327744819877912
60,0.5,3,0.5,0.505800393011579,0.4245830103637355,0.929023013211819
60,0.5,3,0.7,0.27523988521783294,0.18545090198586958,0.8208035995758461
60,0.5,5,0.05,0.5731265117946175,0.5327818965688065,0.9190840569741782
60,0.5,5,0.1,0.576719482291488,0.5347647696592189,0.9208379904278795
60,0.5,5,0.3,0.5720510946502132,0.5204405163138864,0.9280457398332044
60,0.5,5,0.5,0.5039402878234163,0.4265902828136331,0.9163729114722151
60,0.5,5,0.7,0.2699306432611057,0.19151527839897986,0.7537586335368125
60,0.75,2,0.05,0.5840039904811204,0.5468373387586714,0.9313443957240707
60,0.75,2,0.1,0.585248403646017,0.5480930695786631,0.9337517553664059
60,0.75,2,0.3,0.5830866310722534,0.535751174443651,0.9411801794056115
60,0.75,2,0.5,0.5152352785907924,0.43182274775421176,0.9381451867136675
60,0.75,2,0.7,0.2783128293855416,0.18285877425024424,0.8552431719829192
60,0.75,3,0.05,0.5850421946448193,0.5497385088991897,0.9299171753646863
60,0.75,3,0.1,0.5864848075595415,0.5515594395485094,0.9322586192072908
60,0.75,3,0.3,0.5840081909480149,0.5385965687819333,0.939245693978735
60,0.75,3,0.5,0.5147395223715541,0.4342383570294691,0.9316883042444043
60,0.75,3,0.7,0.2761449395134193,0.18698549946949278,0.8182099561516637
60,0.75,5,0.05,0.5842376925922791,0.5507235263210213,0.9258762502507666
60,0.75,5,0.1,0.5852020182462966,0.5523154528013972,0.9280371421201961
60,0.75,5,0.3,0.5821690738418026,0.5396649052454656,0.9333390651420056
60,0.75,5,0.5,0.5123002709638882,0.43612662238015515,0.9178574499183217
60,0.75,5,0.7,0.2708819265344598,0.1931801355566276,0.7513283466597885
60,0.9,2,0.05,0.617417367129882,0.6026231112497336,0.9369071160404666
60,0.9,2,0.1,0.6184021583729745,0.6027924230194577,0.9370933998223139
60,0.9,2,0.3,0.6194580773456216,0.592630137499154,0.9368125411973748
60,0.9,2,0.5,0.5294833441386337,0.4599607205901264,0.9212478147479437
60,0.9,2,0.7,0.2760802748882626,0.18881010028465617,0.8074914739346001
60,0.9,3,0.05,0.6170454186177019,0.6036396552267408,0.935350929985957
60,0.9,3,0.1,0.6179932927957378,0.6034620338123488,0.9353165391339238
60,0.9,3,0.3,0.6191466619340052,0.593124469224769,0.9344882927807869
60,0.9,3,0.5,0.5293720066134557,0.46215523852676926,0.9150488636689307
60,0.9,3,0.7,0.27325303526477196,0.1918764244431293,0.7738686842633193
60,0.9,5,0.05,0.6155029445725843,0.6032780674298557,0.9316682429140515
60,0.9,5,0.1,0.6163475804330151,0.603154277051529,0.9315593385492792
60,0.9,5,0.3,0.6164136457628837,0.5923615960352123,0.9295732668443527
60,0.9,5,0.5,0.5265067459997684,0.46308861566807213,0.9026509615109047
60,0.9,5,0.7,0.26758385498893145,0.1964716326260359,0.7139282950735104
